NumStories,ParcelID,Height_Ft,FromH7,Residential Exemption,AC Type,Address,Bath Style 1,Bath Style 2,Bath Style 3,Bathrooms,Bedrooms,Classification Code,Commercial units,Community Preservation,Condition,Exterior Condition,Exterior Finish,FY2024 Building value,FY2024 Gross Tax,FY2024 Land Value,FY2024 Net Tax,FY2024 Total Assessed Value,Fireplaces,Foundation,Grade,Half Bathrooms,Heat Type,Interior Condition,Kitchen Style 1,Kitchen Style 2,Kitchen Style 3,Kitchen Type,Land Use,Living Area,Lot Size,Mixed-use units,Number of Kitchens,Other Fixtures,Parking Spots,Personal Exemption,Property Type,Quality,Residential Exemption,Residential units,Roof Cover,Roof Structure,Size/sqft,Style,Total Rooms,Total units (sum of values),Total units,Type,View,Year Built,distance,formatted,lat,lon,Centr_Lat,Centr_Lon,GoogleLnk,Ground_Elevation_Ft,Model_LOD,ZMax,ZMin
2,1702400000,8.30590796,0,"$3,610.53 ",None,136  TONAWANDA ST BOSTON MA 02124,Semi-Modern,Semi-Modern,,2,6,0104 (Residential Property  / TWO-FAM DWELLING),,$33.85 ,Fair,Average,Vinyl,"$510,300.00 ","$8,085.62 ","$231,500.00 ","$4,508.94 ","$741,800.00 ",0,Stone,Average,0,Ht Water/Steam,Average,Semi-Modern,Semi-Modern,,2 Full Eat In Kitchens,104 - TWO-FAM DWELLING,"2,930 sq ft","4,677 sq ft",,2,0,6,No,Two Family,VERY GOOD,Yes,,Asphalt Shingl,Hip,418,Conventional,12,,,Garage,Average,1920,5.011130068,"136 Tonawanda Street, Boston, MA 02212, United States of America",42.2973965,-71.07102543,42.29730979,-71.07091837,"https://www.google.com/maps/search//@42.2953097870088,-71.0709183661641,263a,35y,39.46t/data=!3m1!1e3",78.69404887,1,86.99995683,75.49997983
2,1701225000,26.23996683,0,"$3,610.53 ",None,16  LINDSEY ST BOSTON MA 02124,Semi-Modern,Semi-Modern,Semi-Modern,2,5,0101 (Residential Property  / SINGLE FAM DWELLING),,$20.36 ,Average,Average,Vinyl,"$401,400.00 ","$6,736.20 ","$216,600.00 ","$3,146.03 ","$618,000.00 ",0,Stone,Average,1,Ht Water/Steam,Average,No Remodeling,,,1 Full Eat In Kitchens,101 - SINGLE FAM DWELLING,"2,385 sq ft","4,800 sq ft",,1,0,5,No,One Family,AVERAGE,Yes,,Asphalt Shingl,Gambrel,260,Colonial,11,,,Garage,Average,1894,0,"16 Lindsey Street, Boston, MA 02212, United States of America",42.2976333,-71.06799673,42.29765189,-71.0679957,"https://www.google.com/maps/search//@42.295651887667894,-71.067995704,263a,35y,39.46t/data=!3m1!1e3",55.76,1,81.99996683,49.00003283
2.5,1501338000,11.18932241,0,"$3,610.53 ",None,134  DRAPER ST BOSTON MA 02122,Semi-Modern,Semi-Modern,,2,7,0104 (Residential Property  / TWO-FAM DWELLING),,$38.09 ,,Average,Wood Shake,"$516,300.00 ","$8,509.63 ","$264,400.00 ","$4,937.19 ","$780,700.00 ",0,Stone,Average,0,Forced Hot Air,Average,Semi-Modern,Semi-Modern,,2 Full Eat In Kitchens,104 - TWO-FAM DWELLING,"3,725 sq ft","4,531 sq ft",,2,0,4,No,Two Family,,Yes,,Asphalt Shingl,Gable,,Conventional,14,,,,Average,1915,2.890942546,"134 Draper Street, Boston, MA 02122, United States of America",42.30587475,-71.0660162,42.30579248,-71.06610678,"https://www.google.com/maps/search//@42.3037924759483,-71.0661067772085,263a,35y,39.46t/data=!3m1!1e3",90.31060542,1,101.4999278,88.49995383
2,1701195000,28.01996983,0,"$3,610.53 ",None,7  LARCHMONT ST BOSTON MA 02124,No Remodeling,,,1,3,0101 (Residential Property  / SINGLE FAM DWELLING),,$16.04 ,Average,Average,Wood Shake,"$376,600.00 ","$6,304.56 ","$201,800.00 ","$2,710.07 ","$578,400.00 ",1,Stone,Average,0,Ht Water/Steam,Average,Semi-Modern,,,1 Full Eat In Kitchens,101 - SINGLE FAM DWELLING,"1,859 sq ft","4,000 sq ft",,1,0,2,No,One Family,AVERAGE,Yes,,Asphalt Shingl,Gambrel,400,Colonial,8,,,Garage,Average,1897,0,"7 Larchmont Street, Boston, MA 02212, United States of America",42.2975549,-71.06733623,42.2975661,-71.06734095,"https://www.google.com/maps/search//@42.295566095480496,-71.0673409449492,263a,35y,39.46t/data=!3m1!1e3",52.48,1,80.49996983,46.00003883
3,1501774000,31.46561135,0,$0.00 ,None,53  COLEMAN ST BOSTON MA 02125,Modern,Semi-Modern,,2,3,0104 (Residential Property  / TWO-FAM DWELLING),,$27.60 ,,Good,Brick/Stone,"$257,836.00 ","$3,849.88 ","$95,364.00 ","$3,877.48 ","$353,200.00 ",0,Stone,Good,0,Ht Water/Steam,Average,Modern,Semi-Modern,,2 Full Eat In Kitchens,104 - TWO-FAM DWELLING,"1,776 sq ft","1,933 sq ft",,2,0,0,No,Two Family,,No,,Slate,Mansard,,Row Middle,9,,,,Fair,1890,0.757685576,"53 Coleman Street, Boston, MA 02125, United States of America",42.3080532,-71.0666958,42.30805763,-71.0666888,"https://www.google.com/maps/search//@42.3060576273705,-71.066688795923,263a,35y,39.46t/data=!3m1!1e3",68.53431949,1,99.99993083,60.50000983
3,1501665000,45.86011792,0,$0.00 ,None,38  MT IDA RD BOSTON MA 02122,Modern,Modern,Modern,3,12,0105 (Residential Property  / THREE-FAM DWELLING),,$125.86 ,Average,Average,Vinyl,"$998,700.00 ","$13,676.23 ","$256,000.00 ","$13,802.09 ","$1,254,700.00 ",0,Stone,Average,0,Ht Water/Steam,Good,Modern,Modern,Modern,3 Full Eat In Kitchens,105 - THREE-FAM DWELLING,"4,077 sq ft","2,695 sq ft",,3,0,0,No,Three Family,AVERAGE,No,,Rubber Roof,Flat,180,Decker,20,,,Shed,Average,1905,0,"38 Mount Ida Road, Boston, MA 02122, United States of America",42.30575425,-71.06459671,42.30576069,-71.06460103,"https://www.google.com/maps/search//@42.3037606887887,-71.0646010268714,263a,35y,39.46t/data=!3m1!1e3",124.64,1,170.5001179,124.4998818
2.5,1702265000,21.45996983,0,$0.00 ,None,111  TONAWANDA ST BOSTON MA 02124,Semi-Modern,Modern,,2,6,0104 (Residential Property  / TWO-FAM DWELLING),,$71.51 ,,Average,Vinyl,"$493,100.00 ","$8,241.49 ","$263,000.00 ","$8,313.00 ","$756,100.00 ",0,Stone,Average,0,Forced Hot Air,Average,Semi-Modern,Semi-Modern,,2 Full Eat In Kitchens,104 - TWO-FAM DWELLING,"3,767 sq ft","5,000 sq ft",,2,0,3,No,Two Family,,No,,Asphalt Shingl,Gable,,Conventional,14,,,,Average,1897,0,"111 Tonawanda Street, Boston, MA 02212, United States of America",42.298107,-71.06985632,42.29811558,-71.06985952,"https://www.google.com/maps/search//@42.2961155805857,-71.0698595194283,263a,35y,39.46t/data=!3m1!1e3",59.04,1,80.49996983,51.00002883
2.5,1501700000,29.59987483,0,$0.00 ,None,19  POTOSI ST BOSTON MA 02122,Semi-Modern,Semi-Modern,,2,6,0104 (Residential Property  / TWO-FAM DWELLING),,$68.99 ,,Average,Wood Shake,"$475,700.00 ","$7,988.61 ","$257,200.00 ","$8,057.60 ","$732,900.00 ",0,Stone,Average,0,Ht Water/Steam,Average,Semi-Modern,Semi-Modern,,2 Full Eat In Kitchens,104 - TWO-FAM DWELLING,"3,618 sq ft","3,894 sq ft",,2,0,1,No,Two Family,,No,,Asphalt Shingl,Hip,,Conventional,14,,,,Average,1905,0,"19 Potosi Street, Boston, MA 02122, United States of America",42.3069549,-71.06491379,42.30697028,-71.06490559,"https://www.google.com/maps/search//@42.3049702753219,-71.0649055952379,263a,35y,39.46t/data=!3m1!1e3",98.4,1,127.9998748,98.49993383
2.5,1501018000,31.01996383,0,$0.00 ,None,348  GENEVA AV BOSTON MA 02122,No Remodeling,No Remodeling,,1,5,0101 (Residential Property  / SINGLE FAM DWELLING),,$31.30 ,,Average,Vinyl,"$215,500.00 ","$4,220.48 ","$171,700.00 ","$4,251.78 ","$387,200.00 ",0,Stone,Average,1,Forced Hot Air,Average,No Remodeling,,,1 Full Eat In Kitchens,101 - SINGLE FAM DWELLING,"2,621 sq ft","2,836 sq ft",,1,0,0,No,One Family,,No,,Asphalt Shingl,Gable,,Colonial,8,,,,Average,1920,0,"348 Geneva Avenue, Boston, MA 02212, United States of America",42.3024237,-71.06944615,42.3024352,-71.06944693,"https://www.google.com/maps/search//@42.300435195388,-71.0694469277607,263a,35y,39.46t/data=!3m1!1e3",52.48,1,83.49996383,47.50003583
3,1600687000,28.10004183,0,$0.00 ,None,9-11 CHRISTOPHER ST BOSTON MA 02122,Semi-Modern,No Remodeling,No Remodeling,3,9,0105 (Residential Property  / THREE-FAM DWELLING),,$66.63 ,Average,Average,Asbestos,"$428,700.00 ","$7,753.17 ","$282,600.00 ","$7,819.80 ","$711,300.00 ",0,Stone,Average,0,Ht Water/Steam,Average,No Remodeling,No Remodeling,No Remodeling,3 Full Eat In Kitchens,105 - THREE-FAM DWELLING,"3,174 sq ft","4,310 sq ft",,3,0,1,No,Three Family,AVERAGE,No,,Asphalt Shingl,Gable,80,Conventional,15,,,Shed,Average,1921,0,"9,11 Christopher Street, Boston, MA 02122, United States of America",42.2979505,-71.06011967,42.29795417,-71.06012627,"https://www.google.com/maps/search//@42.2959541705704,-71.0601262714011,263a,35y,39.46t/data=!3m1!1e3",16.4,1,44.50004183,10.00011083
3,1502266000,34.57108211,0,"$3,610.53 ",None,11  EVERTON ST BOSTON MA 02121,Modern,Modern,Modern,3,9,0105 (Residential Property  / THREE-FAM DWELLING),,$69.09 ,,Average,Vinyl,"$797,800.00 ","$11,609.59 ","$267,300.00 ","$8,068.15 ","$1,065,100.00 ",0,Stone,Average,0,Ht Water/Steam,Average,Modern,Modern,Modern,3 Full Eat In Kitchens,105 - THREE-FAM DWELLING,"3,632 sq ft","3,054 sq ft",,3,0,3,No,Three Family,,Yes,,Rubber Roof,Flat,,Decker,18,,,,Average,1905,0,"11 Everton Street, Boston, MA 02212, United States of America",42.30500815,-71.0729806,42.30502084,-71.07298064,"https://www.google.com/maps/search//@42.303020838252095,-71.0729806409727,263a,35y,39.46t/data=!3m1!1e3",88.42880272,1,122.9998848,85.49995983
2,1701208000,11.64787627,0,"$3,610.53 ",None,43  LARCHMONT ST BOSTON MA 02124,Modern,Modern,,2,4,0104 (Residential Property  / TWO-FAM DWELLING),,$40.14 ,Fair,Average,Vinyl,"$554,000.00 ","$8,714.55 ","$245,500.00 ","$5,144.16 ","$799,500.00 ",0,Stone,Average,0,Ht Water/Steam,Good,Semi-Modern,Modern,,2 Full Eat In Kitchens,104 - TWO-FAM DWELLING,"3,081 sq ft","4,964 sq ft",,2,0,5,No,Two Family,AVERAGE,Yes,,Asphalt Shingl,Hip,400,Conventional,10,,,Garage,Average,1925,5.963245497,"47 Larchmont Street, Boston, MA 02212, United States of America",42.29688625,-71.06977506,42.29698931,-71.06966564,"https://www.google.com/maps/search//@42.294989306169796,-71.0696656358121,263a,35y,39.46t/data=!3m1!1e3",55.85211956,1,67.49999583,51.00002883
3,1501717000,9.840517396,0,"$3,610.53 ",None,53  ADAMS ST BOSTON MA 02122,No Remodeling,No Remodeling,No Remodeling,3,9,0105 (Residential Property  / THREE-FAM DWELLING),,$64.76 ,Poor,Average,Wood Shake,"$757,800.00 ","$11,176.86 ","$267,600.00 ","$7,631.09 ","$1,025,400.00 ",0,Stone,Average,0,Ht Water/Steam,Average,No Remodeling,No Remodeling,No Remodeling,3 Full Eat In Kitchens,105 - THREE-FAM DWELLING,"3,909 sq ft","3,499 sq ft",,3,0,4,No,Three Family,AVERAGE,Yes,,Composition,Flat,400,Decker,18,,,Garage,Average,1905,6.284940341,"51 Adams Street, Boston, MA 02122, United States of America",42.30690955,-71.06252502,42.30679752,-71.06259331,"https://www.google.com/maps/search//@42.3047975223568,-71.0625933050401,263a,35y,39.46t/data=!3m1!1e3",65.65946244,1,75.49997983,60.50000983
3,1500452001,44.19997683,0,$0.00 ,None,51 R LINDEN ST BOSTON MA 02122,Modern,Semi-Modern,Semi-Modern,3,9,0105 (Residential Property  / THREE-FAM DWELLING),,$81.46 ,,Average,Vinyl,"$649,800.00 ","$9,235.57 ","$197,500.00 ","$9,317.03 ","$847,300.00 ",0,Stone,Average,0,Ht Water/Steam,Average,Modern,Semi-Modern,Semi-Modern,3 Full Eat In Kitchens,105 - THREE-FAM DWELLING,"2,913 sq ft","1,836 sq ft",,3,0,0,No,Three Family,,No,,Rubber Roof,Flat,,Decker,15,,,,Fair,1905,0,"51R Linden Street, Boston, MA 02122, United States of America",42.30595755,-71.06027811,42.30597082,-71.06028358,"https://www.google.com/maps/search//@42.303970817566,-71.0602835833908,263a,35y,39.46t/data=!3m1!1e3",32.8,1,76.99997683,29.50007183
3,1500039000,40.91443708,0,$0.00 ,None,24  DICKENS ST BOSTON MA 02122,Semi-Modern,Semi-Modern,Semi-Modern,3,9,0105 (Residential Property  / THREE-FAM DWELLING),,$99.99 ,,Average,Vinyl,"$778,700.00 ","$11,088.57 ","$238,600.00 ","$11,188.56 ","$1,017,300.00 ",0,Stone,Average,0,Ht Water/Steam,Average,Modern,Semi-Modern,Semi-Modern,3 Full Eat In Kitchens,105 - THREE-FAM DWELLING,"3,117 sq ft","3,682 sq ft",,3,0,0,No,Three Family,,No,,Asphalt Shingl,Hip,,Decker,15,,,,Average,1905,0,"24 Dickens Street, Boston, MA 02122, United States of America",42.3009981,-71.05797895,42.30101272,-71.05796966,"https://www.google.com/maps/search//@42.29901272002684,-71.05796965967657,263a,35y,39.46t/data=!3m1!1e3",14.20926292,1.5,55.1237,3.3236
3,1501471000,3.2678015,0,$0.00 ,None,47  DRAPER ST BOSTON MA 02122,Modern,Modern,Modern,3,10,0105 (Residential Property  / THREE-FAM DWELLING),,$119.03 ,,Good,Vinyl,"$927,400.00 ","$12,992.80 ","$264,600.00 ","$13,111.83 ","$1,192,000.00 ",0,Stone,Average,0,Forced Hot Air,Average,Modern,Modern,Modern,3 Full Eat In Kitchens,105 - THREE-FAM DWELLING,"3,648 sq ft","4,790 sq ft",,3,0,0,No,Three Family,,No,,Rubber Roof,Flat,,Decker,18,,,,Average,1905,2.643482143,"47 Draper Street, Boston, MA 02122, United States of America",42.30291325,-71.06377025,42.30287735,-71.06389601,"https://www.google.com/maps/search//@42.3008773461254,-71.0638960056348,263a,35y,39.46t/data=!3m1!1e3",72.16,1.5,75.4278015,66.20012967
2.5,1700018000,14.63985883,0,$0.00 ,None,21  CHAMBERLAIN ST BOSTON MA 02124,Semi-Modern,Semi-Modern,Modern,3,5,0105 (Residential Property  / THREE-FAM DWELLING),,$79.01 ,,Average,Vinyl,"$475,200.00 ","$8,991.41 ","$349,700.00 ","$9,070.42 ","$824,900.00 ",0,Stone,Average,0,Ht Water/Steam,Average,Semi-Modern,Semi-Modern,Semi-Modern,2 Full Eat In Kitchens,105 - THREE-FAM DWELLING,"2,958 sq ft","9,631 sq ft",,3,0,0,No,Three Family,,No,,Asphalt Shingl,Gable,,Conventional,9,,,,Average,1885,0.932899304,"21 Chamberlain Street, Dorchester, MA 02124, United States of America",42.29807,-71.07496,42.29807289,-71.07497065,"https://www.google.com/maps/search//@42.2960728860563,-71.0749706507747,263a,35y,39.46t/data=!3m1!1e3",121.36,1,135.9998588,117.9998948
3,1401203000,3.338405212,0,"$3,610.53 ",None,48  BOWDOIN AV BOSTON MA 02121,Semi-Modern,Semi-Modern,Semi-Modern,3,9,0105 (Residential Property  / THREE-FAM DWELLING),,$59.87 ,,Average,Vinyl,"$715,400.00 ","$10,687.45 ","$265,100.00 ","$7,136.79 ","$980,500.00 ",0,Stone,Average,0,Ht Water/Steam,Average,No Remodeling,No Remodeling,No Remodeling,3 Full Eat In Kitchens,105 - THREE-FAM DWELLING,"4,544 sq ft","4,814 sq ft",,3,0,4,No,Three Family,,Yes,,Rubber Roof,Flat,,Decker,21,,,,Average,1905,7.344172882,"48 Bowdoin Avenue, Dorchester, MA 02121, United States of America",42.30169,-71.07506,42.30162564,-71.07503995,"https://www.google.com/maps/search//@42.2996256391152,-71.0750399467523,263a,35y,39.46t/data=!3m1!1e3",143.1204222,1.5,146.4588274,135.3771567
3,1600834000,9.820071833,0,$0.00 ,None,228  PARK ST BOSTON MA 02124,Modern,Semi-Modern,Semi-Modern,3,9,0105 (Residential Property  / THREE-FAM DWELLING),,$108.80 ,Average,Good,Vinyl,"$824,100.00 ","$11,970.38 ","$274,100.00 ","$12,079.18 ","$1,098,200.00 ",0,Stone,Average,0,Ht Water/Steam,Average,Modern,Semi-Modern,Semi-Modern,3 Full Eat In Kitchens,105 - THREE-FAM DWELLING,"3,750 sq ft","5,208 sq ft",,3,0,4,No,Three Family,AVERAGE,No,,Rubber Roof,Flat,360,Decker,18,,,Garage,Fair,1910,4.549331567,"228 Park Street, Boston, MA 02124, United States of America",42.2977628,-71.06306197,42.29763735,-71.06302973,"https://www.google.com/maps/search//@42.2956373522256,-71.0630297288087,263a,35y,39.46t/data=!3m1!1e3",19.68,1,29.50007183,11.50010783
2,1500062000,4.338114388,0,"$3,610.53 ",None,57  LEONARD ST BOSTON MA 02122,Modern,Semi-Modern,,1,2,0101 (Residential Property  / SINGLE FAM DWELLING),,$0.00 ,,Average,Vinyl,"$281,000.00 ","$4,547.48 ","$136,200.00 ",$936.95 ,"$417,200.00 ",0,Brick,Average,1,Ht Water/Steam,Average,Modern,,,1 Full Eat In Kitchens,101 - SINGLE FAM DWELLING,"1,155 sq ft","2,223 sq ft",,1,0,2,No,One Family,,Yes,,Rubber Roof,Flat,,Colonial,4,,,,Average,1870,13.01760701,"57 Leonard Street, Boston, MA 02122, United States of America",42.30180905,-71.05712935,42.30166254,-71.05703977,"https://www.google.com/maps/search//@42.29966254270085,-71.05703976958699,263a,35y,39.46t/data=!3m1!1e3",12.65308561,1.5,16.9912,2.0123
2.5,1701281000,24.70001583,0,"$3,610.53 ",None,34  TONAWANDA ST BOSTON MA 02124,Semi-Modern,Semi-Modern,,2,6,0104 (Residential Property  / TWO-FAM DWELLING),,$33.43 ,Average,Average,Frame/Clapbrd,"$508,200.00 ","$8,043.11 ","$229,700.00 ","$4,466.01 ","$737,900.00 ",0,Stone,Average,0,Ht Water/Steam,Average,Semi-Modern,Semi-Modern,,2 Full Eat In Kitchens,104 - TWO-FAM DWELLING,"3,576 sq ft","4,800 sq ft",,2,0,2,No,Two Family,AVERAGE,Yes,,Asphalt Shingl,Gable,120,Conventional,12,,,Deck/Patio,Average,1885,0,"34 Tonawanda Street, Boston, MA 02124, United States of America",42.2987623,-71.066324,42.29878013,-71.0663293,"https://www.google.com/maps/search//@42.2967801307495,-71.0663292967382,263a,35y,39.46t/data=!3m1!1e3",32.8,1,57.50001583,28.00007483
2,1700119000,11.63986483,0,"$3,610.53 ",None,30  BRADLEE ST BOSTON MA 02124,Semi-Modern,,,1,5,0101 (Residential Property  / SINGLE FAM DWELLING),,$31.27 ,Good,Good,Vinyl,"$532,200.00 ","$7,827.29 ","$185,900.00 ","$4,248.03 ","$718,100.00 ",1,Stone,Average,0,Ht Water/Steam,Good,Semi-Modern,,,1 Full Eat In Kitchens,101 - SINGLE FAM DWELLING,"2,658 sq ft","4,965 sq ft",,1,1,4,No,One Family,AVERAGE,Yes,,Asphalt Shingl,Gambrel,240,Colonial,10,,,Garage,Average,1905,0,"30 Bradlee Street, Boston, MA 02212, United States of America",42.29696965,-71.07415889,42.2969782,-71.07416705,"https://www.google.com/maps/search//@42.2949782047739,-71.0741670537295,263a,35y,39.46t/data=!3m1!1e3",121.36,1,132.9998648,117.9998948
3,1501069000,32.76001283,0,"$3,610.53 ",None,198  WESTVILLE ST BOSTON MA 02122,Semi-Modern,Semi-Modern,Semi-Modern,3,7,0105 (Residential Property  / THREE-FAM DWELLING),,$56.81 ,,Average,Vinyl,"$729,800.00 ","$10,381.16 ","$222,600.00 ","$6,827.44 ","$952,400.00 ",0,Stone,Average,0,Forced Hot Air,Average,Semi-Modern,Semi-Modern,Semi-Modern,3 Full Eat In Kitchens,105 - THREE-FAM DWELLING,"3,812 sq ft","3,934 sq ft",,3,0,2,No,Three Family,,Yes,,Rubber Roof,Flat,,Decker,18,,,,Average,1905,0,"198 Westville Street, Boston, MA 02122, United States of America",42.30172325,-71.06512159,42.30174094,-71.06512093,"https://www.google.com/maps/search//@42.299740943300996,-71.0651209313376,263a,35y,39.46t/data=!3m1!1e3",26.24,1,59.00001283,19.50009183
2.5,1701216000,24.51997683,0,"$3,610.53 ",None,40  LINDSEY ST BOSTON MA 02124,Semi-Modern,Semi-Modern,,2,6,0104 (Residential Property  / TWO-FAM DWELLING),,$29.10 ,,Fair,Vinyl,"$469,300.00 ","$7,610.38 ","$228,900.00 ","$4,028.95 ","$698,200.00 ",0,Stone,Average,0,Ht Water/Steam,Average,No Remodeling,No Remodeling,,2 Full Eat In Kitchens,104 - TWO-FAM DWELLING,"3,888 sq ft","4,000 sq ft",,2,0,4,No,Two Family,,Yes,,Asphalt Shingl,Gable,,Conventional,14,,,,Average,1900,0,"40 Lindsey Street, Boston, MA 02212, United States of America",42.29717245,-71.0695363,42.29719275,-71.06953696,"https://www.google.com/maps/search//@42.295192755321196,-71.0695369651218,263a,35y,39.46t/data=!3m1!1e3",52.48,1,76.99997683,47.50003583
2.5,1502201000,0.29395575,0,$0.00 ,None,186  BOWDOIN ST BOSTON MA 02122,Semi-Modern,Semi-Modern,Semi-Modern,3,8,0105 (Residential Property  / THREE-FAM DWELLING),,$65.07 ,,Average,Vinyl,"$470,100.00 ","$7,597.30 ","$226,900.00 ","$7,662.37 ","$697,000.00 ",0,Stone,Average,0,Ht Water/Steam,Average,Semi-Modern,Semi-Modern,Modern,3 Full Eat In Kitchens,105 - THREE-FAM DWELLING,"3,051 sq ft","3,140 sq ft",,3,0,0,No,Three Family,,No,,Asphalt Shingl,Gable,,Conventional,14,,,,Average,1899,4.631463113,"186 Bowdoin Street, Boston, MA 02212, United States of America",42.3047476,-71.06937636,42.30464275,-71.06934447,"https://www.google.com/maps/search//@42.302642748166996,-71.0693444672196,263a,35y,39.46t/data=!3m1!1e3",88.56,1.5,88.85395575,81.23454842
2,1401301000,0.609967242,0,"$3,610.53 ",None,12  NOTTINGHAM ST BOSTON MA 02121,Modern,Modern,Modern,2,7,0104 (Residential Property  / TWO-FAM DWELLING),,$33.39 ,,Average,Vinyl,"$489,700.00 ","$8,039.84 ","$247,900.00 ","$4,462.70 ","$737,600.00 ",0,Stone,Average,1,Ht Water/Steam,Good,Modern,Modern,,2 Full Eat In Kitchens,104 - TWO-FAM DWELLING,"2,730 sq ft","4,814 sq ft",,2,0,2,No,Two Family,,Yes,,Asphalt Shingl,Hip,,Conventional,18,,,,Average,1920,4.658701904,"12 Nottingham Street, Boston, MA 02212, United States of America",42.30129075,-71.07382651,42.3013396,-71.0737069,"https://www.google.com/maps/search//@42.299339601060495,-71.0737068952139,263a,35y,39.46t/data=!3m1!1e3",131.0660813,1.5,131.6760486,123.7029674
2,1701129000,1.459877787,0,"$3,610.53 ",Central AC,PARK ST BOSTON MA 02124,Modern,Modern,Modern,2,4,0101 (Residential Property  / SINGLE FAM DWELLING),,$65.81 ,,Average,Wood Shake,"$810,700.00 ","$11,281.50 ","$224,300.00 ","$7,736.78 ","$1,035,000.00 ",2,Stone,Good,1,Ht Water/Steam,Good,Modern,,,1 Full Eat In Kitchens,101 - SINGLE FAM DWELLING,"2,746 sq ft","4,798 sq ft",,1,0,0,No,One Family,,Yes,,Asphalt Shingl,Gambrel,,Victorian,8,,,,Average,1899,3.330872744,"59 Waldeck Street, Boston, MA 02124, United States of America",42.297108,-71.06665849,42.29706028,-71.06678206,"https://www.google.com/maps/search//@42.295060278059594,-71.06678205875,263a,35y,39.46t/data=!3m1!1e3",54.34657188,1.5,55.80644967,49.50232842
2.5,1401308000,44.45862135,0,"$3,610.53 ",Central AC,7-9 NOTTINGHAM ST BOSTON MA 02121,Modern,Modern,Modern,4,10,0104 (Residential Property  / TWO-FAM DWELLING),,$91.17 ,,Good,Vinyl,"$971,700.00 ","$13,817.93 ","$296,000.00 ","$10,298.57 ","$1,267,700.00 ",0,Stone,Average,3,Forced Hot Air,Good,Modern,Modern,,2 Full Eat In Kitchens,104 - TWO-FAM DWELLING,"4,210 sq ft","6,210 sq ft",,2,0,3,No,Two Family,,Yes,,Slate,Gable,,Duplex,16,,,,Average,1900,0,"7 Nottingham Street, Boston, MA 02121, United States of America",42.30092305,-71.07312517,42.300935,-71.07311945,"https://www.google.com/maps/search//@42.2989350047703,-71.0731194508943,263a,35y,39.46t/data=!3m1!1e3",118.0415126,1,162.5001339,117.9998948
2,1500037000,9.091661229,0,"$3,610.53 ",None,28-30 DICKENS ST BOSTON MA 02122,Semi-Modern,Semi-Modern,,2,4,0104 (Residential Property  / TWO-FAM DWELLING),,$36.54 ,Average,Good,Vinyl,"$509,800.00 ","$8,354.85 ","$256,700.00 ","$4,780.86 ","$766,500.00 ",0,Concrete,Average,0,Ht Water/Steam,Average,Semi-Modern,Semi-Modern,,2 Full Eat In Kitchens,104 - TWO-FAM DWELLING,"2,976 sq ft","5,060 sq ft",,2,0,2,No,Two Family,AVERAGE,Yes,,Asphalt Shingl,Gable,180,Conventional,10,,,Shed,Average,1891,7.057087867,"6 Harbell Terrace, Boston, MA 02122, United States of America",42.3013237,-71.0578796,42.30121865,-71.05783057,"https://www.google.com/maps/search//@42.299218652247184,-71.05783056919728,263a,35y,39.46t/data=!3m1!1e3",15.89693877,1.5,24.9886,5.5792
2,1600780000,35.64354534,0,"$3,610.53 ",None,9  VINSON ST BOSTON MA 02124,Modern,Semi-Modern,,2,6,0104 (Residential Property  / TWO-FAM DWELLING),,$46.45 ,Good,Good,Vinyl,"$639,700.00 ","$9,345.66 ","$217,700.00 ","$5,781.58 ","$857,400.00 ",2,Stone,Average,0,Ht Water/Steam,Average,Modern,Semi-Modern,,2 Full Eat In Kitchens,104 - TWO-FAM DWELLING,"3,660 sq ft","4,318 sq ft",,2,0,5,No,Two Family,AVERAGE,Yes,,Asphalt Shingl,Gable,400,Conventional,15,,,Garage,Fair,1905,6.999869693,"9 Vinson Street, Boston, MA 02124, United States of America",42.2987739,-71.06442639,42.29888557,-71.06451444,"https://www.google.com/maps/search//@42.2968855709614,-71.064514435907,263a,35y,39.46t/data=!3m1!1e3",20.35647349,1,56.00001883,11.50010783
2,1701242000,9.419623962,0,"$3,610.53 ",None,19  LINDSEY ST BOSTON MA 02124,Modern,Modern,,1,4,0101 (Residential Property  / SINGLE FAM DWELLING),,$29.99 ,Fair,Average,Vinyl,"$492,100.00 ","$7,699.76 ","$214,300.00 ","$4,119.22 ","$706,400.00 ",0,Stone,Average,1,Ht Water/Steam,Good,Modern,,,1 Full Eat In Kitchens,101 - SINGLE FAM DWELLING,"1,823 sq ft","4,950 sq ft",,1,0,6,No,One Family,AVERAGE,Yes,,Asphalt Shingl,Gambrel,247,Colonial,8,,,Garage,Average,1905,11.0591302,"70 Tonawanda Street, Boston, MA 02212, United States of America",42.2982986,-71.06787128,42.2981397,-71.06787012,"https://www.google.com/maps/search//@42.2961396981221,-71.0678701175908,263a,35y,39.46t/data=!3m1!1e3",53.08038187,1,62.50000583,49.00003283
