NumStories,ParcelID,Height_Ft,FromH7,Residential Exemption,AC Type,Address,Bath Style 1,Bath Style 2,Bath Style 3,Bathrooms,Bedrooms,Classification Code,Commercial units,Community Preservation,Condition,Exterior Condition,Exterior Finish,FY2024 Building value,FY2024 Gross Tax,FY2024 Land Value,FY2024 Net Tax,FY2024 Total Assessed Value,Fireplaces,Foundation,Grade,Half Bathrooms,Heat Type,Interior Condition,Kitchen Style 1,Kitchen Style 2,Kitchen Style 3,Kitchen Type,Land Use,Living Area,Lot Size,Mixed-use units,Number of Kitchens,Other Fixtures,Parking Spots,Personal Exemption,Property Type,Quality,Residential Exemption,Residential units,Roof Cover,Roof Structure,Size/sqft,Style,Total Rooms,Total units (sum of values),Total units,Type,View,Year Built,distance,formatted,lat,lon,Centr_Lat,Centr_Lon,GoogleLnk,Ground_Elevation_Ft,Model_LOD,ZMax,ZMin
3,1302091000,14.76004883,1,"$3,610.53 ",None,43  PEARL ST BOSTON MA 02125,Semi-Modern,Semi-Modern,Semi-Modern,4,9,0105 (Residential Property  / THREE-FAM DWELLING),,$140.65 ,Fair,Good,Cement Board,"$1,356,900.00 ","$18,765.44 ","$364,700.00 ","$15,295.56 ","$1,721,600.00 ",0,Stone,Average,0,Ht Water/Steam,Average,Semi-Modern,Semi-Modern,Semi-Modern,3 Full Eat In Kitchens,105 - THREE-FAM DWELLING,"4,692 sq ft","5,285 sq ft",,3,0,0,No,Three Family,AVERAGE,Yes,,Rubber Roof,Flat,560,Decker,21,,,Garage,Average,1892,0,"43 Pearl Street, Boston, MA 02125, United States of America",42.3152691,-71.0590251,42.31528625,-71.05902827,"https://www.google.com/maps/search//@42.3132862542882,-71.0590282658906,263a,35y,39.46t/data=!3m1!1e3",26.24,1,41.00004883,23.00008483
2.5,1502818020,27.92000283,1,$0.00 ,Central AC,10  HOWE ST BOSTON MA 02125,Modern,Modern,Modern,2,7,0104 (Residential Property  / TWO-FAM DWELLING),,$66.23 ,Fair,Average,Vinyl,"$431,900.00 ","$7,712.84 ","$275,700.00 ","$7,779.07 ","$707,600.00 ",0,Brick,Average,1,Forced Hot Air,Average,Modern,Modern,,2 Full Eat In Kitchens,104 - TWO-FAM DWELLING,"2,661 sq ft","5,417 sq ft",,2,0,3,No,Two Family,VERY GOOD,No,,Asphalt Shingl,Gable,306,Conventional,12,,,Deck/Patio,Fair,1890,0,"10 Howe Street, Boston, MA 02125, United States of America",42.31125245,-71.06399968,42.31128624,-71.06399063,"https://www.google.com/maps/search//@42.309286237809594,-71.0639906278661,263a,35y,39.46t/data=!3m1!1e3",36.08,1,64.00000283,33.00006483
2,1300966000,29.37988183,1,"$3,610.53 ",None,64  HARTFORD ST BOSTON MA 02125,Semi-Modern,No Remodeling,,2,5,0104 (Residential Property  / TWO-FAM DWELLING),,$11.11 ,,Average,Vinyl,"$333,700.00 ","$5,811.88 ","$199,500.00 ","$2,212.46 ","$533,200.00 ",0,Stone,Average,0,Ht Water/Steam,Average,Semi-Modern,Semi-Modern,,2 Full Eat In Kitchens,104 - TWO-FAM DWELLING,"2,702 sq ft","2,997 sq ft",,2,0,0,No,Two Family,,Yes,,Asphalt Shingl,Hip,,Conventional,10,,,,Average,1890,0,"64 Hartford Street, Boston, MA 02121, United States of America",42.31430445,-71.0729476,42.31431039,-71.07293672,"https://www.google.com/maps/search//@42.312310393514295,-71.0729367246186,263a,35y,39.46t/data=!3m1!1e3",95.12,1,124.4998818,91.99994683
2.5,1301529000,65.90742436,1,$0.00 ,,119  CUSHING AV BOSTON MA 02125,,,,,,0995 (Exempt Property Type / CONDO MAIN),0,$0.00 ,,,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,,,,,,,,,,,0 sq ft,"5,222 sq ft",0,,,,No,Condo Main Building,,No,0,,,,,,"$1,813,600 ",0,,,1886,0,"119 Cushing Avenue, Boston, MA 02125, United States of America",42.313049,-71.06218175,42.31306022,-71.06217375,"https://www.google.com/maps/search//@42.3110602222093,-71.0621737521194,263a,35y,39.46t/data=!3m1!1e3",114.5926736,1,180.5000979,116.4998978
3,1300256000,36.23994683,1,$0.00 ,None,38  WOODFORD ST BOSTON MA 02125,No Remodeling,No Remodeling,No Remodeling,3,9,0105 (Residential Property  / THREE-FAM DWELLING),,$72.09 ,,Fair,Frame/Clapbrd,"$570,400.00 ","$8,299.26 ","$191,000.00 ","$8,371.35 ","$761,400.00 ",0,Stone,Average,0,Ht Water/Steam,Average,No Remodeling,No Remodeling,No Remodeling,3 Full Eat In Kitchens,105 - THREE-FAM DWELLING,"3,594 sq ft","2,476 sq ft",,3,0,0,No,Three Family,,No,,Rubber Roof,Flat,,Decker,15,,,,Average,1905,0,"38 Woodford Street, Boston, MA 02125, United States of America",42.31816425,-71.07054635,42.31817817,-71.07054598,"https://www.google.com/maps/search//@42.3161781687326,-71.0705459797069,263a,35y,39.46t/data=!3m1!1e3",55.76,1,91.99994683,52.50002583
3,1302084000,16.54005183,1,$0.00 ,,11  PEARL ST BOSTON MA 02125,,,,,,0995 (Exempt Property Type / CONDO MAIN),0,$0.00 ,,,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,,,,,,,,,,,0 sq ft,"13,020 sq ft",0,,,,No,Condo Main Building,,No,0,,,,,,"$3,324,300 ",0,,,1899,0,"11R Pearl Street, Boston, MA 02125, United States of America",42.3151674,-71.05742115,42.3151222,-71.05748311,"https://www.google.com/maps/search//@42.31312219639,-71.0574831125087,263a,35y,39.46t/data=!3m1!1e3",22.96,1,39.50005183,21.50008783
3,1301369001,3.103969363,1,$0.00 ,,5-7 EVERETT AV BOSTON MA 02125,,,,,,0995 (Exempt Property Type / CONDO MAIN),0,$0.00 ,,,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,,,,,,,,,,,0 sq ft,"4,089 sq ft",0,,,,No,Condo Main Building,,No,0,,,,,,"$2,469,600 ",0,,,1935,3.656727678,"7 Everett Avenue, Dorchester, MA 02125, United States of America",42.315925,-71.063172,42.31592273,-71.06321637,"https://www.google.com/maps/search//@42.313922726017495,-71.0632163677386,263a,35y,39.46t/data=!3m1!1e3",49.25793339,1.5,52.36190275,46.20410667
3,1301642010,48.42162852,1,"$3,610.53 ",None,5  ROWELL ST BOSTON MA 02125,Semi-Modern,Semi-Modern,Semi-Modern,3,6,0105 (Residential Property  / THREE-FAM DWELLING),,$89.11 ,,Average,Vinyl,"$935,400.00 ","$13,611.92 ","$313,400.00 ","$10,090.50 ","$1,248,800.00 ",0,Stone,Average,0,Ht Water/Steam,Good,Semi-Modern,Semi-Modern,Semi-Modern,3 Full Eat In Kitchens,105 - THREE-FAM DWELLING,"3,684 sq ft","7,315 sq ft",,3,0,6,No,Three Family,,Yes,,Composition,Flat,,Decker,15,,,,Average,1920,0,"5 Rowell Street, Boston, MA 02125, United States of America",42.3129229,-71.06396838,42.31292843,-71.06396367,"https://www.google.com/maps/search//@42.3109284316403,-71.0639636747578,263a,35y,39.46t/data=!3m1!1e3",53.07829931,1,101.4999278,59.00001283
2,1502627000,8.406492,1,"$3,610.53 ",None,18  BIRD ST BOSTON MA 02125,Semi-Modern,Semi-Modern,,2,4,0101 (Residential Property  / SINGLE FAM DWELLING),,$19.84 ,,Good,Vinyl,"$451,100.00 ","$6,684.97 ","$162,200.00 ","$3,094.28 ","$613,300.00 ",0,Concrete,Average,0,Forced Hot Air,Good,Semi-Modern,,,1 Full Eat In Kitchens,101 - SINGLE FAM DWELLING,"1,446 sq ft","3,110 sq ft",,1,0,3,No,One Family,,Yes,,Asphalt Shingl,Hip,,Colonial,8,,,,Average,1930,2.183248774,"499 Columbia Road, Boston, MA 02125, United States of America",42.31454815,-71.06698182,42.31458778,-71.06683519,"https://www.google.com/maps/search//@42.3125877757261,-71.0668351855761,263a,35y,39.46t/data=!3m1!1e3",52.48,1.5,60.886492,50.567615
3,1301845000,39.19998683,1,$0.00 ,,15  MORRILL ST BOSTON MA 02125,,,,,,0995 (Exempt Property Type / CONDO MAIN),0,$0.00 ,,,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,,,,,,,,,,,0 sq ft,"3,700 sq ft",0,,,,No,Condo Main Building,,No,0,,,,,,"$1,217,600 ",0,,,1885,0,"15 Morrill Street, Boston, MA 02125, United States of America",42.31647305,-71.06035029,42.31649339,-71.06035708,"https://www.google.com/maps/search//@42.314493385757096,-71.0603570812309,263a,35y,39.46t/data=!3m1!1e3",32.8,1,71.99998683,29.50007183
3,1502648000,17.95997683,1,$0.00 ,None,37-37R GLENDALE ST BOSTON MA 02125,Semi-Modern,Modern,Semi-Modern,5,9,0105 (Residential Property  / THREE-FAM DWELLING),,$129.57 ,Fair,Good,Vinyl,"$865,300.00 ","$14,046.83 ","$423,400.00 ","$14,176.40 ","$1,288,700.00 ",0,Stone,Average,0,Ht Water/Steam,Good,Modern,Modern,Semi-Modern,3 Full Eat In Kitchens,105 - THREE-FAM DWELLING,"4,476 sq ft","14,516 sq ft",,3,0,8,No,Three Family,AVERAGE,No,,Asphalt Shingl,Gable,200,Conventional,17,,,Garage,Average,1905,11.83510765,"465 Columbia Road, Boston, MA 02125, United States of America",42.3132923,-71.06769129,42.31329191,-71.06738333,"https://www.google.com/maps/search//@42.3112919061961,-71.0673833302734,263a,35y,39.46t/data=!3m1!1e3",59.04,1,76.99997683,56.00001883
